"x","y"
"271667.437498","1507996.37501"
"271673.781239","1507986.50001"
"271680.125003","1507978.25"
"271685.531242","1507969.24999"
"271690.062488","1507960.25001"
"271696.406252","1507952.0"
"271702.749993","1507942.99999"
"271709.093756","1507934.875"
"271713.625003","1507925.75"
"271720.875002","1507918.5"
"271728.125001","1507911.25"
"271735.375001","1507904.0"
"271745.312509","1507894.99999"
"271746.218745","1507888.62501"
"271749.843756","1507885.0"
"271756.187497","1507876.87501"
"271764.343754","1507870.5"
"271771.593753","1507863.25"
"271780.656247","1507857.875"
"271787.906246","1507850.62501"
"271796.062504","1507843.37501"
"271804.187495","1507837.0"
"271810.531259","1507828.87501"
"271816.875","1507820.74999"
"271823.21874","1507812.50001"
"271829.562504","1507804.37499"
"271837.718739","1507798.00001"
"271844.968761","1507790.75001"
"271851.312501","1507782.62499"
"271859.468759","1507776.37501"
"271868.500009","1507770.87499"
"271873.937491","1507761.87501"
"271876.656244","1507751.87499"
"271883.000008","1507743.75"
"271889.343748","1507735.50001"
"271896.593748","1507728.25001"
"271904.750005","1507722.0"
"271913.812499","1507717.5"
"271926.46876","1507712.00001"
"271936.437488","1507708.37499"
"271945.500005","1507703.87499"
"271954.562498","1507699.37501"
"271963.624991","1507693.0"
"271971.781249","1507686.625"
"271979.031248","1507679.375"
"271989.874992","1507669.375"
"271998.937509","1507664.00001"
"272008.000002","1507658.62501"
"272017.062495","1507652.25"
"272026.125011","1507647.75"
"272035.187505","1507643.125"
"272044.218755","1507637.75001"
"272053.281248","1507632.24999"
"272062.343741","1507627.75001"
"272071.406257","1507623.25001"
"272076.843739","1507614.125"
"272081.375009","1507605.125"
"272088.625008","1507597.875"
"272093.156255","1507588.87499"
"272100.406254","1507581.62499"
"272109.437504","1507576.99999"
"272115.781245","1507568.875"
"272120.312491","1507559.87499"
"272126.656255","1507551.62501"
"272132.999996","1507543.49999"
"272142.968748","1507533.62499"
"272151.125005","1507527.25001"
"272158.375005","1507520.00001"
"272162.875008","1507510.87501"
"272169.218749","1507502.74999"
"272174.656254","1507493.75001"
"272179.1875","1507484.62501"
"272187.343758","1507478.375"
"272196.406251","1507471.125"
"272205.468745","1507464.74999"
"272209.999991","1507455.62501"
"272215.437496","1507446.625"
"272223.562511","1507436.62501"
"272230.81251","1507429.37501"
"272238.062509","1507422.12501"
"272243.499992","1507413.125"
"272251.656249","1507405.875"
"272257.99999","1507397.74999"
"272265.249989","1507390.49999"
"272274.312505","1507385.0"
"272282.437497","1507378.62499"
"272285.15625","1507371.37499"
"272286.968744","1507369.62501"
"272292.406249","1507360.625"
"272298.749989","1507352.37499"
"272304.187495","1507343.37501"
"272310.531258","1507335.24999"
"272317.781257","1507327.99999"
"272323.21874","1507318.87499"
"272326.843751","1507308.875"
"272334.09375","1507301.74999"
"272339.531255","1507292.62499"
"272346.750011","1507283.62501"
"272352.187493","1507274.5"
"272358.531257","1507266.37501"
"272364.874998","1507258.25"
"272372.124997","1507250.00001"
"272377.562502","1507241.0"
"272384.812501","1507233.75"
"272392.0625","1507226.5"
"272398.406241","1507217.5"
"272403.812503","1507208.37499"
"272408.34375","1507198.375"
"272418.312501","1507187.62501"
"272425.562501","1507180.37501"
"272432.8125","1507173.12501"
"272440.062499","1507165.87501"
"272447.312498","1507158.62501"
"272454.562497","1507150.375"
"272463.593747","1507145.00001"
"272471.750005","1507138.625"
"272479.90624","1507132.24999"
"272487.156239","1507125.12501"
"272493.500003","1507116.875"
"272499.843743","1507108.75001"
"272508.000001","1507101.50001"
"272515.25","1507094.25001"
"272522.468756","1507087.00001"
