trap_id,start_date,end_date,ntrapped
14,2014-06-06,2014-06-07,0
19,2014-06-06,2014-06-07,1
18,2014-06-06,2014-06-07,0
23,2014-06-06,2014-06-07,0
27,2014-06-06,2014-06-07,0
28,2014-06-06,2014-06-07,0
24,2014-06-06,2014-06-07,0
20,2014-06-06,2014-06-07,0
25,2014-06-06,2014-06-07,1
27,2014-06-06,2014-06-07,3
30,2014-06-06,2014-06-07,0
31,2014-06-06,2014-06-07,0
26,2014-06-06,2014-06-07,1
22,2014-06-06,2014-06-07,0
21,2014-06-06,2014-06-07,1
16,2014-06-06,2014-06-07,0
15,2014-06-06,2014-06-07,1
10,2014-06-06,2014-06-07,0
9,2014-06-06,2014-06-07,2
4,2014-06-06,2014-06-07,0
1,2014-06-06,2014-06-07,0
2,2014-06-06,2014-06-07,1
5,2014-06-06,2014-06-07,0
6,2014-06-06,2014-06-07,0
7,2014-06-06,2014-06-07,0
3,2014-06-06,2014-06-07,0
8,2014-06-06,2014-06-07,1
13,2014-06-06,2014-06-07,0
17,2014-06-06,2014-06-07,0
12,2014-06-06,2014-06-07,0
11,2014-06-06,2014-06-07,0
14,2014-06-07,2014-06-08,0
19,2014-06-07,2014-06-08,0
18,2014-06-07,2014-06-08,0
23,2014-06-07,2014-06-08,0
27,2014-06-07,2014-06-08,0
28,2014-06-07,2014-06-08,2
24,2014-06-07,2014-06-08,1
20,2014-06-07,2014-06-08,0
25,2014-06-07,2014-06-08,0
29,2014-06-07,2014-06-08,0
30,2014-06-07,2014-06-08,0
31,2014-06-07,2014-06-08,1
26,2014-06-07,2014-06-08,0
22,2014-06-07,2014-06-08,0
21,2014-06-07,2014-06-08,0
16,2014-06-07,2014-06-08,0
15,2014-06-07,2014-06-08,0
10,2014-06-07,2014-06-08,0
9,2014-06-07,2014-06-08,2
4,2014-06-07,2014-06-08,0
1,2014-06-07,2014-06-08,0
2,2014-06-07,2014-06-08,0
5,2014-06-07,2014-06-08,0
6,2014-06-07,2014-06-08,0
7,2014-06-07,2014-06-08,1
3,2014-06-07,2014-06-08,0
8,2014-06-07,2014-06-08,1
13,2014-06-07,2014-06-08,0
17,2014-06-07,2014-06-08,0
12,2014-06-07,2014-06-08,0
11,2014-06-07,2014-06-08,0
14,2014-06-08,2014-06-09,1
19,2014-06-08,2014-06-09,0
