key,dateCreated,latitude,longitude,altitude,deviceId,entryId,lastEdited,timeUploaded,projectName,photo,barrelID,males,females,note,
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICYsJWPCQw,2014-12-04 05:44:32.175000,0.0,0.0,0.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1417671872175,2014-12-04 05:44:32.175000,2014-12-04 05:47:28.444730,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICYsJWPCQw","21","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICEhZmPCQw,2015-02-27 03:21:38.709000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1425007298709,2015-02-27 03:21:38.709000,2015-02-27 03:30:59.345530,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICEhZmPCQw","15","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICEoJ6PCQw,2015-02-12 02:01:06.299000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1423706466299,2015-02-12 02:01:06.299000,2015-02-12 02:27:49.729490,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICEoJ6PCQw","17","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID4j62PCQw,2015-02-19 01:47:27.147000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1424310447147,2015-02-19 01:47:27.147000,2015-02-19 02:32:08.940270,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID4j62PCQw","31","2","1","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICMstCPCQw,2015-06-17 01:03:04.880000,0.0,0.0,177.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1434502984880,2015-06-17 01:03:04.880000,2015-06-17 03:04:18.745440,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICMstCPCQw","11","2","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDo8tKPCQw,2014-11-13 00:35:09.794000,0.0,0.0,0.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1415838909794,2014-11-13 00:35:09.794000,2014-11-14 23:59:13.295150,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDo8tKPCQw","2","0","1","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDk6uKPCQw,2015-04-16 23:58:59.572000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1429228739572,2015-04-16 23:58:59.572000,2015-04-24 01:53:02.167630,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDk6uKPCQw","22","1","2","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDU1OWPCQw,2015-05-08 00:44:57.643000,13.52977957,144.87224287,193.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1431045897643,2015-05-08 00:44:57.643000,2015-05-08 01:44:11.044400,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDU1OWPCQw","20","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDY0eiPCQw,2014-12-17 23:58:52.337000,0.0,0.0,0.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1418860732337,2014-12-17 23:58:52.337000,2014-12-18 00:18:16.442580,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDY0eiPCQw","18","1","4","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICMhJGQCQw,2015-06-11 00:48:56.186000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1433983736186,2015-06-11 00:48:56.186000,2015-06-11 01:02:41.637800,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICMhJGQCQw","12","2","1","N/A",
